,ncbi,organism,pubmed
177,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834235.1_ASM83423v1,ypw,http://www.ncbi.nlm.nih.gov/pubmed/25931590
178,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834275.1_ASM83427v1,ypj,http://www.ncbi.nlm.nih.gov/pubmed/25931590
179,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834335.1_ASM83433v1,ypv,http://www.ncbi.nlm.nih.gov/pubmed/25931590
180,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834495.1_ASM83449v1,ypl,http://www.ncbi.nlm.nih.gov/pubmed/25931590
181,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000047365.1_ASM4736v1,yps,http://www.ncbi.nlm.nih.gov/pubmed/15358858
182,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834295.1_ASM83429v1,ypo,http://www.ncbi.nlm.nih.gov/pubmed/25931590
183,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016945.1_ASM1694v1,ypi,http://www.ncbi.nlm.nih.gov/pubmed/17784789
184,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000019465.1_ASM1946v1,ypy,
185,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000020085.1_ASM2008v1,ypb,
186,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000750315.1_ASM75031v1,ypq,http://www.ncbi.nlm.nih.gov/pubmed/25342679
187,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834355.1_ASM83435v1,ypu,http://www.ncbi.nlm.nih.gov/pubmed/25931590
188,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834415.1_ASM83441v1,ypr,http://www.ncbi.nlm.nih.gov/pubmed/25931590
189,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834435.1_ASM83443v1,ypc,http://www.ncbi.nlm.nih.gov/pubmed/25931590
190,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000834945.1_ASM83494v1,ypf,http://www.ncbi.nlm.nih.gov/pubmed/25931590
191,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000009345.1_ASM934v1,yen,http://www.ncbi.nlm.nih.gov/pubmed/17173484
192,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000192105.1_ASM19210v1,yep,http://www.ncbi.nlm.nih.gov/pubmed/21325549
193,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000253175.1_ASM25317v1,yey,http://www.ncbi.nlm.nih.gov/pubmed/21296963
