,ncbi,organism,pubmed
1145,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000331025.1_ASM33102v1,dhy,http://www.ncbi.nlm.nih.gov/pubmed/23469349
1153,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022145.1_ASM2214v1,acp,
1160,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277205.1_ASM27720v1,rpo,
1161,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277165.1_ASM27716v1,rpw,
1162,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277225.1_ASM27722v1,rpz,
1163,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277245.1_ASM27724v1,rpg,
1164,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277185.1_ASM27718v1,rps,
1165,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277265.1_ASM27726v1,rpv,
1166,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000022785.1_ASM2278v1,rpq,http://www.ncbi.nlm.nih.gov/pubmed/20368341
1167,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000367405.1_ASM36740v1,rpl,http://www.ncbi.nlm.nih.gov/pubmed/23814035
1168,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000363905.1_ASM36390v1,rpn,http://www.ncbi.nlm.nih.gov/pubmed/23814035
1169,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000008045.1_ASM804v1,rty,http://www.ncbi.nlm.nih.gov/pubmed/15317790
1170,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277285.1_ASM27728v1,rtt,
1171,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000277305.1_ASM27730v1,rtb,
1172,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000014345.1_ASM1434v1,rcm,http://www.ncbi.nlm.nih.gov/pubmed/16481489
1173,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283915.1_ASM28391v1,rcc,
1174,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012385.1_ASM1238v1,rbe,http://www.ncbi.nlm.nih.gov/pubmed/16703114
1175,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018245.1_ASM1824v1,rbo,
1176,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000007025.1_ASM702v1,rco,http://www.ncbi.nlm.nih.gov/pubmed/11557893
1177,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012145.1_ASM1214v1,rfe,http://www.ncbi.nlm.nih.gov/pubmed/15984913
1178,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018205.1_ASM1820v1,rak,
1179,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000018225.1_ASM1822v1,rri,
1180,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000017445.3_ASM1744v3,rrj,http://www.ncbi.nlm.nih.gov/pubmed/18025092
1181,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283795.1_ASM28379v1,rra,
1182,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283775.1_ASM28377v1,rrc,
1183,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283835.1_ASM28383v1,rrh,
1184,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283955.1_ASM28395v1,rrb,
1185,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283815.1_ASM28381v1,rrn,
1186,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283935.1_ASM28393v1,rrp,
1187,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000831545.1_ASM83154v1,rrm,http://www.ncbi.nlm.nih.gov/pubmed/25644009
1188,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000831525.1_ASM83152v1,rrr,http://www.ncbi.nlm.nih.gov/pubmed/25644009
1189,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000016625.1_ASM1662v1,rms,http://www.ncbi.nlm.nih.gov/pubmed/17916642
1190,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000283855.1_ASM28385v1,rmi,
1191,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000021525.1_ASM2152v1,rpk,http://www.ncbi.nlm.nih.gov/pubmed/20027221
1192,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000023005.1_ASM2300v1,raf,http://www.ncbi.nlm.nih.gov/pubmed/19379498
